"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Kericho","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.73429","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","2.64695088","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.51655671","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.84169108","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kiambu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.67372454","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.63130919","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.64374166","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.48525295","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.65678787","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kilifi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.85512492","Tons per Hectare","2023","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kirinyaga","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.48115404","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kirinyaga","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.53092935","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Kirinyaga","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.80294998","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
