Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01290.01","Green corn (maize)","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01290.01","Green corn (maize)","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01290.01","Green corn (maize)","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01290.01","Green corn (maize)","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01290.01","Green corn (maize)","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01290.01","Green corn (maize)","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01290.01","Green corn (maize)","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01290.01","Green corn (maize)","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01290.01","Green corn (maize)","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01290.01","Green corn (maize)","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2022","2022","1000 Int$","618700","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2023","2023","1000 Int$","860178","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2022","2022","1000 SLC","163388482","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2023","2023","1000 SLC","262113195","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2022","2022","1000 SLC","94083430","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2023","2023","1000 SLC","130804056","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2022","2022","1000 USD","1386222","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2023","2023","1000 USD","1874294","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2022","2022","1000 USD","988620","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2023","2023","1000 USD","1374477","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","0118","Millet","2022","2022","1000 Int$","17843","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","0118","Millet","2023","2023","1000 Int$","26037","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","0118","Millet","2022","2022","1000 SLC","4699996","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","0118","Millet","2023","2023","1000 SLC","5699916","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","0118","Millet","2022","2022","1000 SLC","4948976","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","0118","Millet","2023","2023","1000 SLC","7221498","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","0118","Millet","2022","2022","1000 USD","39876","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","0118","Millet","2023","2023","1000 USD","40758","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2022","2022","1000 USD","51713","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","0118","Millet","2023","2023","1000 USD","75459","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01253.01","Onions and shallots, green","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01253.01","Onions and shallots, green","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01253.01","Onions and shallots, green","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01253.01","Onions and shallots, green","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01253.01","Onions and shallots, green","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01253.01","Onions and shallots, green","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01253.01","Onions and shallots, green","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01253.01","Onions and shallots, green","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01253.01","Onions and shallots, green","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01253.01","Onions and shallots, green","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01510","Potatoes","2022","2022","1000 Int$","458445","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01510","Potatoes","2023","2023","1000 Int$","578100","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01510","Potatoes","2022","2022","1000 SLC","65399245","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01510","Potatoes","2023","2023","1000 SLC","65899508","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01510","Potatoes","2022","2022","1000 SLC","63676471","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01510","Potatoes","2023","2023","1000 SLC","80296095","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01510","Potatoes","2022","2022","1000 USD","554861","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01510","Potatoes","2023","2023","1000 USD","471228","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2022","2022","1000 USD","662903","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01510","Potatoes","2023","2023","1000 USD","835922","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","2022","2022","1000 Int$","75202","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","0113","Rice","2023","2023","1000 Int$","89580","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","0113","Rice","2022","2022","1000 SLC","12290214","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","0113","Rice","2023","2023","1000 SLC","17381605","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2022","2022","1000 SLC","10306705","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2023","2023","1000 SLC","12277209","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","0113","Rice","2022","2022","1000 USD","104273","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","0113","Rice","2023","2023","1000 USD","124291","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2022","2022","1000 USD","107381","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2023","2023","1000 USD","127911","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01802","Sugar cane","2022","2022","1000 Int$","394975","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01802","Sugar cane","2023","2023","1000 Int$","249383","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01802","Sugar cane","2022","2022","1000 SLC","39722297","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01802","Sugar cane","2023","2023","1000 SLC","29630681","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01802","Sugar cane","2022","2022","1000 SLC","28153493","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01802","Sugar cane","2023","2023","1000 SLC","17775816","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2022","2022","1000 USD","337012","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2023","2023","1000 USD","211880","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2022","2022","1000 USD","294408","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2023","2023","1000 USD","185886","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01530","Sweet potatoes","2022","2022","1000 Int$","123572","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01530","Sweet potatoes","2023","2023","1000 Int$","138287","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01530","Sweet potatoes","2022","2022","1000 SLC","21135167","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01530","Sweet potatoes","2023","2023","1000 SLC","21140215","A","Official figure"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01530","Sweet potatoes","2022","2022","1000 SLC","19681445","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01530","Sweet potatoes","2023","2023","1000 SLC","22025180","E","Estimated value"
